編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTNMLLLMHMFFET17CA,26,120.49,國民住宅,加強磚造,79年9月19日,二層,一層 二層
RPTNMLLLMHMFFET17CA,26,120.49,國民住宅,加強磚造,79年9月19日,二層,一層 二層
RPXPMLNLLHMFFAT47CA,,173.06,住家用,鋼筋混凝土造,105年12月12日,三層,一層 二層 三層
RPVNMLOLLHMFFAT17CA,22,148.94,住家用,鋼筋混凝土造,84年3月14日,四層,一層 二層 三層 四層
RPPQMLNLLHMFFAT76CA,42,98.60,住商用,加強磚造,64年4月19日,二層,一層 二層 騎樓
RPSQMLNLLHMFFAT07CA,1,193.20,住家用,鋼筋混凝土造,105年7月18日,三層,一層 二層 三層 屋頂突出物
RPUQMLNLLHMFFAT27CA,15,205.04,見其他登記事項,鋼筋混凝土造,91年1月16日,四層,一層 二層 三層 四層
RPPNMLOLLHMFFAT56CA,22,178.44,住家用,鋼筋混凝土造,84年3月22日,三層,一層 二層 三層
RPRNMLOLLHMFFAT76CA,23,197.10,住商用,鋼筋混凝土造,83年6月29日,四層,一層 二層 三層 四層
RPPNMLTLLHMFFAT07CA,26,114.06,見其他登記事項,鋼筋混凝土造,80年9月1日,12,一層 騎樓
RPPNMLTLLHMFFAT07CA,26,47.03,共有部份,鋼筋混凝土造,80年9月1日,十二層,
RPVNMLTLLHMFFAT67CA,25,192.70,住家用,鋼筋混凝土造,80年11月13日,三層,一層 二層 三層
RPQNMLQLLHMFFCT07CA,22,17.09,住家用,鋼筋混凝土造,84年7月10日,六層,三層
RPQNMLQLLHMFFCT07CA,22,11.17,住家用,鋼筋混凝土造,84年7月10日,六層,
RPRNMLOLLHMFFCT96CA,23,153.56,住商用,鋼筋混凝土造,83年1月19日,四層,一層 二層 三層 四層
RPOOMLNLLHMFFCT66CA,17,17.54,住家用,鋼筋混凝土造,88年11月30日,五層,五層
RPOOMLNLLHMFFCT66CA,17,7.86,見其他登記事項,鋼筋混凝土造,88年11月30日,五層,
RPSNMLLMLHMFFBT76CA,14,232.48,住家用,鋼筋混凝土造,92年5月22日,三層,一層 二層 三層
RPSNMLLMLHMFFBT76CA,14,.69,見其他登記事項,鋼筋混凝土造,92年4月24日,一層,一層
RPRNMLPJMHMFFCT96CA,29,107.70,住商用,鋼筋混凝土造,76年10月20日,二層,一層 二層 騎樓
RPPOMLRJMHMFFCT07CA,34,94.77,住家用,鋼筋混凝土造,71年11月30日,三層,三層
RPQOMLRJMHMFFCT17CA,1,180.84,住家用,見其他登記事項,104年11月16日,四層,一層 二層 三層 四層
RPPOMLTLLHMFFCT37CA,,197.10,住家用,見其他登記事項,105年12月28日,三層,一層 二層 三層
RPWOMLOLLHMFFCT57CA,35,93.08,住商用,加強磚造,71年4月8日,二層,一層 二層 騎樓
RPWNMLTLLHMFFCT97CA,6,143.30,住家用,鋼筋混凝土造,100年1月11日,三層,一層 二層 三層
RPWNMLTLLHMFFCT97CA,6,143.30,住家用,鋼筋混凝土造,100年1月11日,三層,一層 二層 三層
RPUNMLTLLHMFFAT57CA,26,207.90,住家用,鋼筋混凝土造,80年6月27日,四層,一層 二層 三層 四層
RPTOMLOLLHMFFAT07CA,6,978.66,見其他登記事項,見其他登記事項,100年1月7日,一層,一層
RPUOMLOLLHMFFAT17CA,17,62.91,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,十三層
RPUOMLOLLHMFFAT17CA,17,23.05,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPPNMLLMLHMFFAT98CA,10,178.11,住家用,鋼筋混凝土造,96年4月25日,四層,一層 二層 三層 四層
RPWNMLLMLHMFFAT07CA,23,114.36,住商用,鋼筋混凝土造,83年4月18日,四層,一層 二層 三層 四層
RPWNMLLMLHMFFAT07CA,23,114.36,住商用,鋼筋混凝土造,83年4月18日,四層,一層 二層 三層 四層
RPVPMLQJMHMFFAT47CA,32,99.93,住家用,加強磚造,74年3月8日,二層,一層 二層
RPPNMLOLLHMFFFT07CA,24,66.50,住商用,鋼筋混凝土造,82年7月15日,三層,一層 二層 三層
RPQNMLRLLHMFFFT57DA,24,136.23,住家用,鋼筋混凝土造,82年2月19日,三層,一層 二層 三層
RPTNMLKMLHMFFDT07DA,29,164.65,住家用,鋼筋混凝土造,76年10月20日,三層,一層 二層 三層 騎樓
RPRNMLMKMHMFFET07DA,22,20.14,住家用,鋼筋混凝土造,84年7月10日,四層,四層
RPRNMLMKMHMFFET07DA,22,15.97,共用部份,鋼筋混凝土造,84年7月10日,四層,
RPSNMLMKMHMFFET17DA,22,20.14,住家用,鋼筋混凝土造,84年7月10日,四層,四層
RPSNMLMKMHMFFET17DA,22,15.97,共用部份,鋼筋混凝土造,84年7月10日,四層,
RPQNMLKMLHMFFBT56DA,19,80.63,住家用,加強磚造,86年11月13日,一層,一層
RPQOMLNKMHMFFCT86CA,12,151.68,住家用,鋼筋混凝土造,93年10月6日,三層,一層 二層 三層
RPSNMLQJMHMFFET37CA,1,388.88,見其他登記事項,見其他登記事項,105年3月15日,三層,一層 二層 三層 屋頂突出物 見其他登記事項
RPPNMLLMLHMFFET76CA,21,25.37,住家用,鋼筋混凝土造,84年11月16日,十二層,四層
RPPNMLLMLHMFFET76CA,21,11.87,共用部份,鋼筋混凝土造,84年11月16日,十二層,
SPPNMLLMLHMFFET86CA,21,25.09,住家用,鋼筋混凝土造,84年11月16日,十二層,四層
SPPNMLLMLHMFFET86CA,21,11.87,共用部份,鋼筋混凝土造,84年11月16日,十二層,
RPOQMLQJMHMFFAT86CA,1,247.76,住家用,鋼筋混凝土造,104年11月12日,三層,一層 二層 三層 屋頂突出物
RPPNMLLKMHMFFAT88CA,26,132.89,住家用,鋼筋混凝土造,80年5月2日,三層,一層 二層 三層
RPPOMLTLLHMFFAT17CA,39,87.56,住家用,加強磚造,66年10月12日,二層,一層 二層
RPQNMLKMLHMFFAT98CA,17,67.06,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,二層
RPQNMLKMLHMFFAT98CA,17,44.17,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPSOMLSLLHMFFAT37CA,2,156.50,住家用,鋼筋混凝土造,104年2月26日,三層,一層 二層 三層 屋頂突出物
RPXNMLTLLHMFFCT08CA,40,77.60,住商用,加強磚造,66年7月1日,二層,一層 二層 騎樓
RPVOMLNKMHMFFAT17CA,25,159.30,住家用,鋼筋混凝土造,81年6月9日,三層,一層 二層 三層
RPTNMLTLLHMFFBT57CA,,186.16,農舍,加強磚造,,一層,一層 騎樓
RPXOMLTKMHMFFAT97CA,,72.00,住商用,鋼筋混凝土加強磚造,,二層,一層 二層 騎樓
RPRNMLMKMHMFFCT76CA,61,20.58,住家用,見使用執照,45年9月14日,一層,一層
RPROMLQJMHMFFCT17CA,,120.78,住家用,見其他登記事項,105年9月13日,四層,一層 二層 三層 四層
RPROMLQJMHMFFCT17CA,,120.78,住家用,見其他登記事項,105年9月13日,四層,一層 二層 三層 四層
RPOOMLSLLHMFFCT17CA,14,16.07,見使用執照,鋼筋混凝土造,92年5月1日,五層,三層
RPOOMLSLLHMFFCT17CA,14,4.82,共同部份,鋼筋混凝土造,92年5月1日,五層,
RPOOMLSLLHMFFCT17CA,14,1.76,停車空間,鋼筋混凝土造,92年5月1日,五層,
RPRNMLKMLHMFFCT66CA,1,211.83,見其他登記事項,見其他登記事項,105年4月8日,三層,一層 二層 三層 見其他登記事項
RPQPMLKMLHMFFAT56CA,3,105.15,見其他登記事項,鋼筋混凝土造,103年5月5日,十二層,十層
RPQPMLKMLHMFFAT56CA,3,72.03,見其他登記事項,鋼筋混凝土造,103年5月5日,十二層,
RPSNMLLMLHMFFAT66CA,,106.38,見其他登記事項,鋼筋混凝土造,105年12月8日,五層,五層
RPSNMLLMLHMFFAT66CA,,45.84,見其他登記事項,鋼筋混凝土造,105年12月8日,五層,
RPPNMLKMLHMFFET66CA,1,192.12,見其他登記事項,見其他登記事項,105年5月20日,三層,一層 二層 三層 屋頂突出物
RPXNMLTKMHMFFDT18CA,,354.76,住宅,鋼筋混凝土構造,105年8月19日,五層,一層 二層 三層 四層 五層
RPVOMLNKMHMFFCT37CA,36,151.60,住商用,加強磚造,70年1月13日,二層,一層 二層 騎樓
RPOPMLTKMHMFFCT37CA,24,154.65,住家用,鋼筋混凝土造,82年6月7日,三層,一層 二層 三層
RPPNMLPKMHMFFCT86CA,31,134.34,住家用,加強磚造,75年6月25日,二層,一層 二層 騎樓
RPOOMLLMLHMFFDT66CA,38,85.86,住宅,加強磚造,67年11月20日,二層,一層 二層
RPUNMLRKMHMFFCT57CA,2,261.13,住商用,見其他登記事項,104年8月13日,三層,一層 二層 三層 騎樓
RPTNMLKLMHMFFDT96CA,2,271.92,住宅,鋼筋混凝土構造,103年12月4日,四層,一層 二層 三層 四層
RPVNMLRJMHMFFAT37CA,26,130.00,住家用,加強磚造,80年6月28日,二層,一層 二層
RPXNMLRJMHMFFAT57CA,18,95.85,見其他登記事項,鋼筋混凝土造,87年9月17日,七層,三層
RPXNMLRJMHMFFAT57CA,18,43.66,見其他登記事項,鋼筋混凝土造,87年9月17日,七層,
RPUPMLQJMHMFFAT37CA,25,92.59,住家用,鋼筋混凝土造,81年2月20日,七層,六層
RPUPMLQJMHMFFAT37CA,25,31.57,見其他登記事項,鋼筋混凝土造,81年2月20日,七層,
RPVOMLLKMHMFFAT96CA,39,110.50,住商用,加強磚造,67年4月4日,二層,一層 二層 騎樓
RPSNMLKMLHMFFAT56CA,21,82.26,見其他登記事項,鋼筋混凝土造,84年11月25日,七層,三層
RPSNMLKMLHMFFAT56CA,21,41.95,見其他登記事項,鋼筋混凝土造,84年11月25日,七層,
RPSOMLKMLHMFFAT66CA,,68.76,住家用,鋼筋混凝土加強磚造,,二層,一層 二層
RPTOMLKMLHMFFAT76CA,16,90.68,見其他登記事項,鋼筋混凝土造,90年1月18日,十三層,五層
RPTOMLKMLHMFFAT76CA,16,25.87,見其他登記事項,鋼筋混凝土造,90年1月18日,十三層,
RPOPMLKMLHMFFAT98CA,25,91.29,住家用,鋼筋混凝土造,81年7月15日,七層,七層
RPOPMLKMLHMFFAT98CA,25,23.50,共有部份,鋼筋混凝土造,81年7月15日,七層,
RPOOMLLMLHMFFAT98CA,22,77.47,住家用,鋼筋混凝土造,84年6月28日,七層,三層
RPOOMLLMLHMFFAT98CA,22,36.30,見其他登記事項,鋼筋混凝土造,84年6月28日,七層,
RPTOMLLMLHMFFAT86CA,34,99.40,住家用,鋼筋混凝土造,72年4月10日,五層,三層
RPTOMLLMLHMFFAT86CA,34,15.69,見其他登記事項,鋼筋混凝土造,72年4月10日,五層,
RPXNMLTLLHMFFAT87CA,35,122.40,住家用,鋼筋混凝土造,70年12月31日,三層,一層 二層 三層
RPOOMLTLLHMFFAT07CA,,208.52,住家用,鋼筋混凝土造,106年1月9日,三層,一層 二層 三層
RPPNMLPJMHMFFCT76CA,38,91.00,農舍,磚造,68年6月22日,一層,一層 騎樓
RPOPMLQJMHMFFCT96CA,21,89.60,住家用,鋼筋混凝土造,85年8月17日,七層,四層
RPOPMLQJMHMFFCT96CA,21,31.10,見其他登記事項,鋼筋混凝土造,85年8月17日,七層,
RPQNMLKKMHMFFCT09CA,29,91.49,住商用,鋼筋混凝土造,77年7月30日,二層,一層 二層 夾層
RPRNMLTJNHMFFBT37CA,37,282.80,住商用,鋼筋混凝土造,69年1月21日,四層,一層 二層 三層 四層 騎樓
RPSOMLTKMHMFFAT47CA,31,97.79,住家用,加強磚造,75年1月2日,二層,一層 二層
RPQNMLSJMHMFFCT17CA,24,147.04,住家用,鋼筋混凝土造,82年6月2日,四層,一層 二層 三層 四層
RPVNMLMKMHMFFCT17CA,18,87.65,見其他登記事項,鋼筋混凝土造,88年4月21日,五層,五層
RPVNMLMKMHMFFCT17CA,18,20.89,見其他登記事項,鋼筋混凝土造,88年4月21日,五層,
RPOPMLLMLHMFFCT66CA,23,150.63,住家用,鋼筋混凝土造,83年4月7日,三層,一層 二層 三層
RPROMLLMLHMFFCT86CA,4,167.63,住家用,見其他登記事項,102年9月2日,三層,一層 二層 三層
RPOOMLLMLHMFFCT56CA,34,84.00,住家用,加強磚造,71年10月28日,二層,一層 二層
RPVOMLLMLHMFFAT07CA,2,192.20,住家用,鋼筋混凝土造,104年7月20日,四層,一層 二層 三層 四層
