編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPRNMLMLLHMFFAR56CC,34,25.58,住家用,鋼筋混凝土造,72年6月22日,五層,
RPUNMLMLLHMFFCD28CC,17,96.25,見其他登記事項,鋼筋混凝土構造,88年10月21日,十三層,
RPUNMLMLLHMFFCD28CC,17,15.94,共有部分,鋼筋混凝土構造,88年10月21日,十三層,
RPUNMLMLLHMFFCD28CC,17,33.92,共有部分,鋼筋混凝土構造,88年10月21日,十三層,
RPPNMLMLLHMFFBD67CC,36,93.56,見其他登記事項,鋼筋混凝土造,70年9月7日,四層,
RPPNMLMLLHMFFBD67CC,36,3.21,見其他登記事項,鋼筋混凝土造,70年9月7日,四層,
RPPNMLMLLHMFFBD67CC,36,7.80,共有部分,鋼筋混凝土造,70年9月7日,四層,
RPSOMLMLLHMFFAD97CC,11,142.66,見其他登記事項,見其他登記事項,95年8月22日,十四層,
RPQNMLOLLHMFFBD97CC,,125.51,商業用,鋼筋混凝土造,105年11月30日,一層,
RPQNMLOLLHMFFBD97CC,,62.17,商業用,鋼筋混凝土造,105年11月30日,一層,
RPQNMLOLLHMFFBD97CC,,83.77,商業用,鋼筋混凝土造,105年11月30日,,
RPTNMLOLLHMFFER37CC,14,397.11,住商用,鋼骨鋼筋混凝土造,92年9月16日,三層,
RPRPMLOLLHMFFCD38CC,18,31.27,住家用,鋼筋混凝土構造,88年1月14日,七層,
RPRPMLOLLHMFFCD38CC,18,7.27,共有部分,鋼筋混凝土構造,88年1月14日,七層,
RPRPMLOLLHMFFCD38CC,18,5.27,共有部分,鋼筋混凝土構造,88年1月14日,七層,
RPRPMLOLLHMFFCD38CC,18,4.94,共有部分,鋼筋混凝土構造,88年1月14日,七層,
RPUPMLOLLHMFFCD68CC,9,21.70,住家用,鋼筋混凝土構造,97年2月29日,十四層,
RPUPMLOLLHMFFCD68CC,9,31.18,共有部分,鋼筋混凝土構造,97年2月29日,十四層,
RPUPMLOLLHMFFCD68CC,9,7.11,共有部分,鋼筋混凝土構造,97年2月29日,十四層,
RPRNMLOLLHMFFHR47CC,22,105.82,住家用,鋼筋混凝土造,83年10月6日,十二層,
RPPNMLPLLHMFFER07CC,20,206.64,農舍,見其他登記事項,86年8月11日,二層,
RPPNMLPLLHMFFAD87CC,31,153.06,住家用,鋼筋混凝土造,75年8月8日,七層,
RPQOMLSLLHMFFAD38CC,24,92.93,住家用,鋼筋混凝土造,82年8月24日,七層,
RPQOMLSLLHMFFAD38CC,24,35.05,共有部分,鋼筋混凝土造,82年8月24日,七層,
RPROMLSLLHMFFAD48CC,28,288.78,住商用,鋼筋混凝土構造,78年8月30日,四層,
RPSOMLSLLHMFFAD58CC,35,44.58,住家用,鋼筋混凝土造,71年2月23日,七層,
RPSOMLSLLHMFFAD58CC,35,14.20,共有部分,鋼筋混凝土造,71年2月23日,七層,
RPVOMLSLLHMFFAD88CC,39,31.16,住家用,鋼筋混凝土造,66年12月2日,七層,
RPVOMLSLLHMFFAD88CC,39,6.14,共有部分,鋼筋混凝土造,66年12月2日,七層,
RPXNMLSLLHMFFBD09CC,36,141.72,住商用,鋼筋混凝土構造,69年11月10日,三層,
RPXNMLSLLHMFFCD56CC,43,86.36,住家用,加強磚造,63年9月3日,二層,
RPOOMLSLLHMFFCD38CC,33,168.99,住商用,鋼筋混凝土構造,72年11月1日,三層,
RPQOMLSLLHMFFCD58CC,23,33.06,住家用,鋼筋混凝土構造,83年1月10日,三層,
RPWNMLSLLHMFFHR38CC,35,11.94,住家用,加強磚造,70年12月31日,二層,
RPPOMLSLLHMFFHR77CC,27,225.33,住商用,鋼筋混凝土造,78年10月9日,三層,
RPUOMLSLLHMFFHR28CC,5,399.96,見其他登記事項,見其他登記事項,101年8月17日,十九層,
RPUOMLSLLHMFFHR28CC,5,144.33,見其他登記事項,見其他登記事項,101年8月17日,十九層,
RPTNMLTLLHMFFCD88CC,38,847.17,見其他登記事項,加強磚造,68年8月29日,二層,
RPTNMLTLLHMFFCD88CC,35,478.06,見其他登記事項,加強磚造,71年2月17日,二層,
RPQOMLTLLHMFFCD68CC,24,23.48,住家用,鋼筋混凝土構造,82年8月26日,五層,
RPQOMLTLLHMFFCD68CC,24,8.64,共有部分,鋼筋混凝土構造,82年8月26日,五層,
RPROMLTLLHMFFCD78CC,33,90.41,住家用,鋼筋混凝土構造,72年11月21日,五層,
RPROMLTLLHMFFCD78CC,33,10.71,共有部分,鋼筋混凝土構造,72年11月21日,五層,
RPOPMLTLLHMFFFR67CC,16,64.27,國民住宅,鋼筋混凝土造,89年11月7日,八層,
RPOPMLTLLHMFFFR67CC,16,20.81,共有部分,鋼筋混凝土造,89年11月7日,八層,
RPRNMLKMLHMFFCD87CC,21,109.47,住家用,鋼筋混凝土構造,84年11月15日,二十三層,
RPRNMLKMLHMFFCD87CC,21,9.50,共有部分,鋼筋混凝土構造,84年11月15日,二十三層,
RPRNMLKMLHMFFCD87CC,21,29.18,共有部分,鋼筋混凝土構造,84年11月15日,二十三層,
RPRNMLKMLHMFFCD87CC,21,4.51,共有部分,鋼筋混凝土構造,84年11月15日,二十三層,
RPOOMLKMLHMFFCD67CC,18,121.65,住商用,鋼筋混凝土構造,88年8月2日,十四層,
RPPOMLKMLHMFFCD77CC,17,138.71,見其他登記事項,鋼筋混凝土構造,88年10月21日,十三層,
RPTNMLKMLHMFFDR07DC,5,203.86,見其他登記事項,鋼筋混凝土造,101年8月8日,四層,
RPUOMLLMLHMFFCD38CC,9,31.31,住家用,鋼筋混凝土構造,97年2月29日,十四層,
RPUOMLLMLHMFFCD38CC,9,7.77,共有部分,鋼筋混凝土構造,97年2月29日,十四層,
RPUOMLLMLHMFFCD38CC,9,10.19,共有部分,鋼筋混凝土構造,97年2月29日,十四層,
RPSNMLLMLHMFFER07CC,2,177.33,見其他登記事項,見其他登記事項,104年9月3日,一層,
