鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
平鎮區,建物,桃園市平鎮區金陵路二段408巷1~30號,0.0,,,,1050822,土地0建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040204,145.93,3,2,2,有,有,0,0,一樓平面,0.0,0,,SPPOMLKKNHMFFGH68EA
平鎮區,房地(土地+建物)+車位,桃園市平鎮區金陵路二段408巷1~30號,81.4,,特定農業區,甲種建築用地,1050822,土地2建物2車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040204,232.04000000000002,3,2,2,有,有,17300000,74556,一樓平面,0.0,0,,RPQNMLLKNHMFFGH68EA
桃園區,房地(土地+建物)+車位,桃園市桃園區國豐三街91~120號,10.2,商,,,1051115,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040706,103.52000000000001,2,1,1,有,有,6440000,62132,坡道平面,13.55,850000,,RPROMLKKNHMFFAH18EA
桃園區,房地(土地+建物),桃園市桃園區民富五街1~30號,9.09,住,,,1051215,土地1建物1車位0,一層,六層,店面(店鋪),見其他登記事項,鋼筋混凝土造,0930202,45.44,0,0,0,無,無,4500000,99032,,0.0,0,,RPWNMLNJNHMFFAH78EA
桃園區,房地(土地+建物),桃園市桃園區龍壽街83巷8弄1~30號,30.43,工,,,1051206,土地1建物3車位0,二層,五層,公寓(5樓含以下無電梯),工業用,鋼筋混凝土造,0810514,111.58,3,1,2,有,無,2200000,19717,,0.0,0,親友、員工或其他特殊關係間之交易。,RPUNMLTJKHMFFAH88EA
桃園區,房地(土地+建物),桃園市桃園區天祥七街121~150號,7.28,商,,,1051112,土地1建物1車位0,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0920123,57.34,1,1,1,有,有,4200000,73247,,0.0,0,,RPVNMLLLKHMFFAH38EA
桃園區,房地(土地+建物)+車位,桃園市桃園區南京街1~30號,16.14,商,,,1051220,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050713,156.44,3,2,2,有,有,15400000,104143,坡道平面,25.37,1750000,,RPSOMLKKNHMFFAH28EA
桃園區,房地(土地+建物)+車位,桃園市桃園區中正路1051~1080號,158.52,住,,,1051117,土地1建物1車位8,一層，二層，見其他登記事項,二層,店面(店鋪),見其他登記事項,鋼筋混凝土造,0990526,1087.29,0,0,0,無,有,210000000,193141,坡道平面,0.0,0,含增建或未登記建物。,RPPQMLNJNHMFFAH38EA
龍潭區,房地(土地+建物)+車位,桃園市龍潭區中興路63巷100弄1~30號,37.36,,鄉村區,乙種建築用地,1051203,土地1建物2車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830311,133.39,3,2,2,有,有,3900000,29238,坡道平面,0.0,0,,RPOOMLPLMHMFFCH58EA
中壢區,房地(土地+建物),桃園市中壢區中央西路二段141巷31~60號,54.5,住,,,1060105,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1040519,178.81,3,2,2,有,有,13000000,72703,,0.0,0,,RPUPMLTJNHMFFBH86EA
