編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPOMLNKMHMFFCN78CA,24,41.41,見其他登記事項,鋼筋混凝土造,82年5月22日,七層,
RPOOMLRJMHMFFCN98CA,22,186.07,住家用,鋼筋混凝土造,84年8月2日,三層,一層 二層 三層
RPOOMLMLLHMFFDN68CA,2,262.31,見其他登記事項,鋼筋混凝土造,104年5月20日,四層,一層 二層 三層 四層 屋頂突出物
RPTNMLMLLHMFFFN66CA,27,61.28,住家用,鋼筋混凝土造,78年12月9日,三層,一層 二層 三層
RPTNMLMLLHMFFFN66CA,27,61.28,住家用,鋼筋混凝土造,78年12月9日,三層,一層 二層 三層
RPSNMLOLLHMFFFN76CA,27,144.00,住家用,鋼筋混凝土造,78年12月27日,三層,一層 二層 三層
RPSNMLMLLHMFFFN56CA,37,179.57,住商用,加強磚造,69年2月1日,三層,一層 二層 三層 騎樓
RPPNMLLLMHMFFEN78CA,22,397.50,見其他登記事項,鋼筋混凝土造,84年1月11日,一層,一層
RPPNMLLMLHMFFFN88CA,1,210.36,見其他登記事項,鋼筋混凝土造,104年12月28日,三層,一層 二層 三層
RPQNMLLMLHMFFFN98CA,1,205.49,住宅,鋼筋混凝土造,104年12月28日,三層,一層 二層 三層
RPPNMLTLLHMFFFN96CA,17,294.03,農舍,見其他登記事項,88年12月20日,一層,一層
RPQNMLSLLHMFFAN56DA,28,108.18,住家用,鋼筋混凝土造,78年4月21日,十層,六層
RPQNMLSLLHMFFAN56DA,28,9.48,,鋼筋混凝土造,78年4月21日,十層,
RPQNMLSLLHMFFAN56DA,28,12.47,,鋼筋混凝土造,78年4月21日,十層,
RPPNMLTLLHMFFDN76CA,36,90.76,住家用,加強磚造,70年4月22日,二層,一層 二層
RPQNMLSJMHMFFCN56CA,4,28.00,農舍,見其他登記事項,102年8月1日,一層,一層
RPWNMLNLLHMFFCN76CA,37,193.20,住商用,鋼筋混凝土加強磚造,69年4月18日,三層,一層 二層 三層 騎樓
RPPOMLMKMHMFFDN78CA,35,222.08,住商用,鋼筋混凝土造,70年12月28日,四層,一層 二層 三層 四層 騎樓
RPSNMLLMLHMFFDN98CA,24,27.51,住家用,鋼筋混凝土造,82年3月18日,六層,五層
RPSNMLLMLHMFFDN98CA,24,12.01,見其他登記事項,鋼筋混凝土造,82年3月18日,六層,
RPQOMLQJMHMFFDN56CA,22,187.19,住家用,鋼筋混凝土造,83年10月12日,三層,一層 二層 三層 騎樓
RPTNMLLLMHMFFDN09CA,1,372.28,見其他登記事項,鋼筋混凝土造,104年12月30日,四層,一層 二層 三層 四層
RPSNMLRLLHMFFAN56CA,24,147.39,住家用,鋼筋混凝土造,82年4月14日,三層,一層 二層 三層
RPQNMLTLLHMFFAN56CA,,141.51,見其他登記事項,鋼筋混凝土造,105年9月26日,三層,一層 二層 三層 屋頂突出物
RPRNMLOLLHMFFAN78CA,37,95.07,住家用,鋼筋混凝土加強磚造,69年2月26日,二層,一層 二層
RPUNMLOLLHMFFAN09CA,23,113.91,住家用,鋼筋混凝土造,83年4月11日,八層,八層
RPUNMLOLLHMFFAN09CA,23,33.51,見其他登記事項,鋼筋混凝土造,83年4月11日,八層,
RPQOMLPJMHMFFAN78CA,23,108.20,住家用,鋼筋混凝土造,83年6月21日,十二層,三層
RPQOMLPJMHMFFAN78CA,23,31.35,見其他登記事項,鋼筋混凝土造,83年6月21日,十四層,
RPUNMLNKMHMFFAN98CA,20,.43,見其他登記事項,鋼筋混凝土造,85年9月12日,十三層,地下層
RPUNMLNKMHMFFAN98CA,20,7.58,見其他登記事項,鋼筋混凝土造,85年9月12日,十三層,
