編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLRLLHMFFDQ96DA,1,167.25,見其他登記事項,鋼筋混凝土造,104年10月16日,三層,一層 二層 三層
RPRNMLLMLHMFFBQ98CA,36,64.00,住商用,鋼筋混凝土加強磚造,69年11月11日,二層,一層 二層
RPVNMLRLLHMFFCQ37CA,36,118.31,住家用,鋼筋混凝土加強磚造,70年3月20日,二層,一層 二層 電梯樓梯間
RPOOMLRLLHMFFCQ76CA,,173.16,見其他登記事項,鋼筋混凝土造,105年12月27日,三層,一層 二層 三層 見其他登記事項
RPQNMLSLLHMFFCQ96CA,21,107.98,見其他登記事項,鋼筋混凝土造,85年5月17日,八層,二層
RPQNMLSLLHMFFCQ96CA,21,19.09,共有部份,鋼筋混凝土造,85年5月17日,八層,
RPQNMLSLLHMFFCQ96CA,21,.08,見其他登記事項,鋼筋混凝土造,85年5月17日,八層,
RPQNMLSLLHMFFCQ96CA,21,6.32,共有部份,鋼筋混凝土造,85年5月17日,八層,
RPUNMLSKMHMFFCQ37CA,38,88.28,住家用,鋼筋混凝土加強磚造,67年8月15日,二層,一層 二層
RPQNMLOKMHMFFCQ56CA,,208.07,見其他登記事項,鋼筋混凝土造,105年8月17日,三層,一層 二層 三層 見其他登記事項
RPTNMLTLLHMFFDQ47CA,23,186.56,住商用,鋼筋混凝土造,83年8月11日,三層,一層 二層 三層 地下層
RPOOMLTLLHMFFDQ07CA,1,158.82,見其他登記事項,鋼筋混凝土造,105年7月18日,三層,一層 二層 三層 見其他登記事項
RPPNMLLKMHMFFCQ78CA,23,210.77,住家用,鋼筋混凝土造,82年12月15日,四層,一層 二層 三層 四層
RPUNMLSLLHMFFDQ47CA,13,19.47,住家用,鋼筋混凝土造,93年8月3日,五層,五層
RPUNMLSLLHMFFDQ47CA,13,.22,見其他登記事項,鋼筋混凝土造,93年8月3日,五層,
RPUNMLSLLHMFFDQ47CA,13,2.41,見其他登記事項,鋼筋混凝土造,93年8月3日,五層,
RPUNMLSLLHMFFDQ47CA,13,.90,見其他登記事項,鋼筋混凝土造,93年8月3日,五層,
RPUNMLSLLHMFFDQ47CA,13,1.30,見其他登記事項,鋼筋混凝土造,93年8月3日,五層,
RPUNMLSLLHMFFDQ47CA,13,5.60,見其他登記事項,鋼筋混凝土造,93年8月3日,五層,
RPTNMLMKMHMFFDQ76CA,,206.87,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,一層 二層 三層 見其他登記事項
RPWNMLPJMHMFFDQ27CA,11,165.52,住家用,鋼筋混凝土造,95年5月12日,四層,一層 二層 三層 四層
RPXNMLKMLHMFFCQ96CA,23,151.84,住家用,鋼筋混凝土造,82年11月6日,三層,一層 二層 三層 電梯樓梯間
RPPNMLQKMHMFFBQ56CA,45,85.44,住家用,鋼筋混凝土加強磚造,61年7月5日,二層,一層 二層
RPPNMLLKMHMFFBQ68CA,21,98.39,住家用,鋼筋混凝土造,85年8月15日,十四層,六層
RPPNMLLKMHMFFBQ68CA,21,41.13,見其他登記事項,鋼筋混凝土造,85年8月15日,十四層,
RPPNMLTLLHMFFCQ17EA,35,99.02,住家用,鋼筋混凝土加強磚造,70年11月5日,二層,一層 二層 電梯樓梯間
RPPNMLQJMHMFFCQ76EA,10,232.04,見其他登記事項,鋼筋混凝土造,96年7月19日,四層,一層 二層 三層 四層
RPSNMLPJMHMFFDQ96DA,11,275.15,見其他登記事項,鋼筋混凝土造,95年7月18日,四層,一層 二層 三層 四層
RPSNMLPJMHMFFDQ96DA,11,1.25,見其他登記事項,鋼筋混凝土造,95年7月18日,四層,一層 二層 三層 四層 地下層
RPSNMLPJMHMFFDQ96DA,11,.72,見其他登記事項,鋼筋混凝土造,95年7月18日,一層,地下層
RPSNMLPJMHMFFDQ96DA,11,1.69,見其他登記事項,鋼筋混凝土造,95年7月18日,三層,一層 二層 三層 地下層
RPQNMLTLLHMFFDQ27DA,1,167.25,見其他登記事項,鋼筋混凝土造,104年10月16日,三層,一層 二層 三層
RPSNMLKMLHMFFBQ98CA,20,43.04,住商用,鋼筋混凝土造,85年11月13日,二層,一層 二層 騎樓
RPTNMLSLLHMFFDQ37CA,13,86.55,見其他登記事項,鋼筋混凝土造,93年8月3日,五層,一層
RPTNMLSLLHMFFDQ37CA,13,6.69,見其他登記事項,鋼筋混凝土造,93年8月3日,五層,
RPTNMLSLLHMFFDQ37CA,13,4.07,見其他登記事項,鋼筋混凝土造,93年8月3日,五層,
RPTNMLSLLHMFFDQ37CA,13,1.00,見其他登記事項,鋼筋混凝土造,93年8月3日,五層,
RPRNMLTLLHMFFDQ27CA,12,16.15,見其他登記事項,鋼筋混凝土造,94年8月15日,五層,四層
