鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
南屯區,房地(土地+建物),臺中市南屯區大墩六街211~240號,11.98,住,,,1060308,土地1建物1車位0,十層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820112,62.31,1,1,1,有,有,有,7000,112,,0.0,0,,RPTPMLQKLHMFFCB58DC
南區,土地,頂橋子頭段91~120地號,232.0,商,,,1060215,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,20000,86,,0.0,0,,RPWOMLQKLHMFFAB48CC
北屯區,建物,臺中市北屯區文心路四段271~300號,9.15,住,,,1060305,土地0建物1車位0,三層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020725,61.0,2,1,1,有,有,有,22000,361,,0.0,0,,RPWNMLQKLHMFFBB48CC
西屯區,房地(土地+建物)+車位,臺中市西屯區福科二路31~60號,46.16,住,,,1060216,土地1建物1車位2,六層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030226,353.21000000000004,4,2,3,有,無,有,65000,184,坡道平面,65.02,0,,RPPQMLQKLHMFFCB18CC
南屯區,房地(土地+建物)+車位,臺中市南屯區大墩十一街601~630號,35.91,住,,,1060216,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001115,275.12,4,2,2,有,有,有,35000,127,坡道平面,29.31,0,還有含一個機車位。,RPRQMLQKLHMFFCB38CC
西屯區,房地(土地+建物),臺中市西屯區國安一路151~180號,7.47,住,,,1060217,土地1建物1車位0,十三層,15,套房(1房1廳1衛),住家用,鋼筋混凝土造,0960522,60.09,1,1,1,有,有,有,11800,196,,0.0,0,,RPWQMLQKLHMFFCB88CC
南屯區,房地(土地+建物)+車位,臺中市南屯區保安二街91~120號,14.56,商,,,1060215,土地1建物1車位1,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031215,102.24000000000001,2,2,1,有,有,有,19500,191,坡道機械,16.61,0,,RPORMLQKLHMFFCB18CC
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道三段661~690號,17.09,商,,,1060216,土地1建物1車位2,六層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020603,259.76,4,2,2,有,有,有,40000,154,坡道機械,29.08,0,,RPRRMLQKLHMFFCB48CC
西屯區,房地(土地+建物)+車位,臺中市西屯區黎明路三段151~180號,27.23,住,,,1060218,土地1建物1車位2,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021016,278.2,4,2,2,有,有,有,45000,162,坡道平面,53.28,0,,RPSRMLQKLHMFFCB58CC
南屯區,房地(土地+建物)+車位,臺中市南屯區文心南路271~300號,26.7,商,,,1060216,土地1建物1車位2,二十七層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031125,314.39,4,2,3,有,有,有,50000,159,坡道平面,51.94,0,,RPURMLQKLHMFFCB78CC
西屯區,房地(土地+建物),臺中市西屯區臺灣大道四段751~780號,30.22,住,,,1060218,土地1建物1車位0,三層,13,辦公商業大樓,商業用,鋼筋混凝土造,0810331,105.35,0,0,0,無,有,有,19800,188,,0.0,0,,RPTNMLRKLHMFFCB38CC
南屯區,房地(土地+建物)+車位,臺中市南屯區公益路二段1~30號,66.08,住,,,1060315,土地2建物1車位2,二層,12,辦公商業大樓,見其它登記事項,鋼筋混凝土造,0840609,264.89,0,0,0,無,有,無,60000,227,坡道平面,0.0,0,,RPPPMLRKLHMFFCB18CC
西屯區,房地(土地+建物),臺中市西屯區上仁街151~180號,194.0,住,,,1060316,土地1建物1車位0,見其它登記事項,2,店面(店鋪),住商用,鋼造,0831230,114.85,0,0,0,無,無,無,100000,871,,0.0,0,,RPSPMLRKLHMFFCB48CC
西屯區,房地(土地+建物),臺中市西屯區文心路三段1~30號,5.99,商,,,1060228,土地1建物1車位0,二十五層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980813,58.489999999999995,0,0,0,無,有,有,15000,256,,0.0,0,,RPURMLRKLHMFFCB88CC
西屯區,房地(土地+建物)+車位,臺中市西屯區文心路三段1~30號,9.49,商,,,1060301,土地1建物1車位1,十六層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980813,132.45,2,1,2,有,無,有,24000,181,坡道平面,0.0,0,,RPVRMLRKLHMFFCB98CC
北屯區,房地(土地+建物),臺中市北屯區瀋陽路二段121~150號,32.12,住,,,1060312,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711116,110.18,0,0,0,無,無,無,16000,145,,0.0,0,,RPUPMLRKLHMFFBB58CC
北區,房地(土地+建物),臺中市北區學士路301~330號,18.57,商,,,1060222,土地2建物1車位0,一層,18,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0941208,441.34000000000003,0,0,0,無,有,無,40000,91,,0.0,0,含管理費,RPWPMLRKLHMFFBB78CC
北屯區,房地(土地+建物),臺中市北屯區瀋陽路二段121~150號,96.37,住,,,1060312,土地1建物3車位0,一層,5,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0711116,430.25,0,0,0,無,無,有,24000,56,,0.0,0,,RPXPMLRKLHMFFBB88CC
北區,房地(土地+建物),臺中市北區進化北路301~330號,7.32,商,,,1060308,土地2建物1車位0,十一層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941208,84.16,1,1,1,有,有,有,14000,166,,0.0,0,,RPPQMLRKLHMFFBB18CC
北區,房地(土地+建物),臺中市北區進化北路301~330號,5.3,商,,,1060310,土地2建物1車位0,十一層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941208,67.33,0,0,0,無,有,有,14500,215,,0.0,0,,RPSQMLRKLHMFFBB48CC
北區,車位,臺中市北區進化北路301~330號,0.38,商,,,1060303,土地0建物0車位1,,,其他,,,,27.89,0,0,0,有,有,無,3200,,坡道平面,27.89,3200,,RPUQMLRKLHMFFBB68CC
北區,房地(土地+建物),臺中市北區進化北路301~330號,5.59,商,,,1060310,土地2建物1車位0,十三層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941208,83.55,0,0,0,無,有,有,14000,168,,0.0,0,,RPVQMLRKLHMFFBB78CC
北屯區,車位,臺中市北屯區文心路四段271~300號,0.0,,,,1060310,土地0建物0車位1,,,其他,,,,27.23,0,0,0,有,有,無,3500,,坡道平面,27.23,3500,,RPWQMLRKLHMFFBB88CC
北屯區,房地(土地+建物),臺中市北屯區文心路四段271~300號,9.48,商,,,1060310,土地1建物1車位0,十五層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020725,97.89000000000001,2,1,2,有,有,有,23000,235,,0.0,0,,RPXQMLRKLHMFFBB98CC
西區,房地(土地+建物),臺中市西區公益路211~240號,14.41,住,,,1060310,土地1建物1車位0,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870918,135.58,3,2,1,有,無,有,23000,170,,0.0,0,,RPVNMLRKLHMFFAB38CC
北區,房地(土地+建物),臺中市北區文心路四段181~210號,6.72,住,,,1060222,土地1建物1車位0,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951225,65.60000000000001,1,1,1,有,有,有,14000,213,,0.0,0,含管理費,RPRPMLRKLHMFFBB38DC
豐原區,房地(土地+建物),臺中市豐原區成功路77巷21弄1~30號,61.0,住,,,1060310,土地1建物1車位0,全,2,透天厝,住家用,磚造,0520225,61.0,4,2,1,有,無,有,10000,164,,0.0,0,,RPTNMLRKLHMFFAL56CC
