編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLNLLHMFFAP68CA,23,8.86,停車空間,鋼筋混凝土造,83年1月5日,十一層,地下層
RPPNMLNLLHMFFAP68CA,23,13.65,共同部份,鋼筋混凝土造,83年1月5日,十一層,
RPPNMLNLLHMFFAP68CA,23,10.38,共同部份,鋼筋混凝土造,83年1月5日,十一層,
RPSNMLOLLHMFFAP09CA,17,109.50,住家用,鋼筋混凝土造,88年9月26日,五層,四層 五層 屋頂突出物
RPSNMLOLLHMFFAP09CA,17,21.25,共有部份,鋼筋混凝土造,88年9月26日,五層,
RPTNMLOLLHMFFAP56CA,37,119.62,住商用,加強磚造,68年11月30日,二層,一層 二層 騎樓
RPTNMLTKMHMFFAP27EA,8,178.88,住家用,鋼筋混凝土造,97年10月16日,三層,一層 二層 三層 電梯樓梯間
RPSOMLNLLHMFFAP09CA,23,77.78,住家用,鋼筋混凝土造,83年1月10日,八層,四層
RPSOMLNLLHMFFAP09CA,23,30.98,共同部份,鋼筋混凝土造,83年1月10日,八層,
RPSNMLNKMHMFFCP56CA,1,157.15,見其他登記事項,鋼筋混凝土造,104年11月12日,三層,一層 二層 三層 見其他登記事項
RPQNMLLKMHMFFCP78CA,1,207.20,見其他登記事項,鋼筋混凝土造,104年11月26日,四層,騎樓 見其他登記事項
RPQNMLLKMHMFFCP78CA,1,4.66,見其他登記事項,鋼筋混凝土造,104年11月26日,一層,
RPRNMLLKMHMFFCP88CA,1,212.27,見其他登記事項,鋼筋混凝土造,104年11月26日,四層,騎樓 見其他登記事項
RPRNMLLKMHMFFCP88CA,1,4.66,見其他登記事項,鋼筋混凝土造,104年11月26日,一層,
RPSNMLNKMHMFFAP98CA,13,312.35,見其他登記事項,鋼筋混凝土造,93年4月9日,四層,一層 二層 三層 四層 騎樓
RPQNMLOLLHMFFDP66DA,41,29.82,住家用,加強磚造,64年12月16日,二層,一層 二層 騎樓
RPRNMLLKMHMFFEP09CA,21,45.11,住家用,鋼筋混凝土造,85年5月29日,十層,四層
RPRNMLLKMHMFFEP09CA,21,10.53,見其他登記事項,鋼筋混凝土造,85年5月29日,,
RPWOMLKKMHMFFDP86CA,1,190.14,見其他登記事項,鋼筋混凝土造,105年4月13日,三層,一層 二層 三層 見其他登記事項
RPRNMLLKMHMFFDP98CA,32,106.47,住家用,加強磚造,73年9月15日,二層,一層 二層 騎樓 電梯樓梯間
RPTNMLLKMHMFFDP56CA,53,266.66,住商用,加強磚造,53年4月26日,三層,一層 二層 三層 騎樓
RPPNMLMKMHMFFDP88CA,,145.68,見其他登記事項,鋼筋混凝土造,105年10月31日,三層,一層 二層 三層 見其他登記事項
RPRNMLMKMHMFFDP09CA,,151.06,見其他登記事項,鋼筋混凝土造,105年10月31日,三層,一層 二層 三層 見其他登記事項
RPTNMLMKMHMFFDP66CA,,148.51,見其他登記事項,鋼筋混凝土造,105年10月31日,三層,一層 二層 三層 見其他登記事項
RPOPMLKKMHMFFDP78CA,1,190.22,見其他登記事項,鋼筋混凝土造,105年4月13日,三層,一層 二層 三層 見其他登記事項
RPPNMLQLLHMFFEP76CA,21,184.47,住家用,鋼筋混凝土造,84年9月19日,四層,一層 二層 三層 四層
RPSNMLRLLHMFFDP17DA,,173.68,見其他登記事項,鋼筋混凝土造,105年12月29日,四層,一層 二層 三層 四層
RPRNMLTKMHMFFAP96DA,18,36.61,住家用,鋼筋混凝土造,88年8月27日,八層,四層
RPRNMLTKMHMFFAP96DA,18,2.58,共有部份,鋼筋混凝土造,88年8月27日,八層,
RPRNMLTKMHMFFAP96DA,18,5.87,共有部份,鋼筋混凝土造,88年8月27日,八層,
RPSNMLTKMHMFFAP07DA,7,177.19,住家用,鋼筋混凝土造,99年3月1日,三層,一層 二層 三層
RPPNMLNLMHMFFAP78CA,22,88.08,住家用,鋼筋混凝土造,83年10月30日,七層,二層
RPPNMLNLMHMFFAP78CA,22,12.81,共有部份,鋼筋混凝土造,83年10月30日,七層,
RPPNMLNLMHMFFAP78CA,22,8.07,共有部份,鋼筋混凝土造,83年10月30日,七層,
RPQNMLSLLHMFFCP86CA,2,218.96,見其他登記事項,鋼筋混凝土造,104年5月4日,三層,一層 二層 三層 見其他登記事項
RPRNMLPLLHMFFDP76CA,,250.22,住家用,鋼筋混凝土造,105年12月5日,四層,一層 二層 三層 四層
RPUNMLTLLHMFFDP47CA,1,196.23,見其他登記事項,鋼筋混凝土造,105年6月28日,三層,一層 二層 三層 地下一層
RPUNMLTLLHMFFDP47CA,1,25.97,見其他登記事項,鋼筋混凝土造,105年6月28日,三層,
RPOOMLSLLHMFFAP56CA,2,174.71,住家用,鋼筋混凝土造,104年5月7日,四層,一層 二層 三層 四層
RPVNMLTLLHMFFAP27CA,1,167.65,見其他登記事項,鋼筋混凝土造,105年9月5日,三層,一層 二層 三層 電梯樓梯間
RPTOMLTLLHMFFAP17CA,23,87.87,住家用,鋼筋混凝土造,83年3月25日,七層,六層
RPTOMLTLLHMFFAP17CA,23,12.84,共同部份,鋼筋混凝土造,83年3月25日,七層,
RPTOMLTLLHMFFAP17CA,23,12.48,共同部份,鋼筋混凝土造,83年3月25日,七層,
RPUOMLTLLHMFFAP27CA,4,174.01,住家用,鋼筋混凝土造,101年11月23日,四層,一層 二層 三層 四層
RPSNMLRLLHMFFAP76CA,,181.47,住家用,鋼筋混凝土造,105年10月13日,三層,一層 二層 三層
RPVNMLRLLHMFFAP07CA,25,147.80,住家用,鋼筋混凝土造,81年7月22日,三層,一層 二層 三層 電梯樓梯間
RPSNMLSLLHMFFAP86CA,,224.03,見其他登記事項,鋼筋混凝土造,105年9月1日,三層,一層 二層 三層 電梯樓梯間
RPTNMLSLLHMFFAP96CA,2,171.51,見其他登記事項,鋼筋混凝土造,105年9月1日,三層,一層 二層 三層 電梯樓梯間
RPSOMLPJMHMFFAP56CA,1,198.53,住家用,鋼筋混凝土造,105年1月12日,四層,一層 二層 三層 四層
RPTOMLPJMHMFFAP66CA,1,198.53,住家用,鋼筋混凝土造,105年1月12日,四層,一層 二層 三層 四層
RPUOMLPJMHMFFAP76CA,1,198.53,住家用,鋼筋混凝土造,105年1月12日,四層,一層 二層 三層 四層
RPPNMLRJMHMFFAP98CA,16,15.76,住家用,見其他登記事項,90年1月17日,四層,三層
RPPNMLRJMHMFFAP98CA,16,5.19,共有部份,見其他登記事項,90年1月17日,四層,
RPPNMLRJMHMFFAP98CA,16,15.76,住家用,見其他登記事項,90年1月17日,四層,三層
RPPNMLRJMHMFFAP98CA,16,5.19,共有部份,見其他登記事項,90年1月17日,四層,
RPVNMLTLLHMFFDP57CA,1,196.23,見其他登記事項,鋼筋混凝土造,105年6月28日,三層,一層 二層 三層 地下一層
RPVNMLTLLHMFFDP57CA,1,25.97,見其他登記事項,鋼筋混凝土造,105年6月28日,三層,
RPWNMLQLMHMFFAP17CA,3,245.23,見其他登記事項,鋼筋混凝土造,103年2月26日,四層,一層 二層 三層 四層 電梯樓梯間
RPXNMLQLMHMFFAP27CA,8,216.28,見其他登記事項,鋼筋混凝土造,97年11月17日,四層,一層 二層 三層 四層
RPOPMLOKMHMFFAP88CA,24,44.85,住家用,鋼筋混凝土造,81年12月29日,八層,三層
